"originid","destinationid","duration","distance","snap_o_dist","snap_d_dist"
355,25,52.90913900530161,37771.123716484755,138.01068269779708,69.49569582967548
355,26,54.48344807806277,39204.821881489894,138.01068269779708,716.0377501451641
355,27,51.71268561433397,36966.476887402605,138.01068269779708,323.7292183215672
355,28,47.2138133563528,32581.83154036719,138.01068269779708,0.000000001862645149230957
355,29,50.5601221371761,36449.58160057728,138.01068269779708,338.26651334269803
355,30,55.27560057133428,37734.35920139109,138.01068269779708,264.9956093431703
355,31,49.88120206155355,33255.17498273161,138.01068269779708,160.19352633348032
355,32,59.437289910432014,45878.50560850475,138.01068269779708,96.1896544677067
355,33,50.81549048107223,36473.37290367204,138.01068269779708,106.68896180463638
355,34,50.20090499237004,36303.45884960829,138.01068269779708,551.3616256140572
355,35,50.26041445225387,34845.29708861059,138.01068269779708,657.7461651326481
355,36,50.02717277845131,35858.08190348658,138.01068269779708,279.7172408755061
355,37,55.074030463015944,39130.085600713646,138.01068269779708,346.00968630994606
355,38,47.36674404335526,33119.59740009366,138.01068269779708,201.66679343610593
355,39,57.64385125824228,38935.25103643451,138.01068269779708,2.1815257747356545
355,40,54.731599528955144,39341.027437008815,138.01068269779708,728.1673320664453
356,0,94.16512790742739,84287.67890675069,0,35.15977961944156
356,1,80.19193260005933,60458.8571577445,0,48.60789036590427
356,2,26.920377083722585,16448.363162395515,0,117.78761762100542
356,3,69.97159468959242,53918.98891524943,0,0.000013706738409904616
356,4,54.207970341665835,37080.55177663442,0,206.26048131650703
356,5,65.19124966927953,36663.04627174413,0,150.80798443932372
356,6,103.89662618457164,94026.14312554842,0,42.10625827637604
356,7,93.33777881590179,79567.00596366545,0,179.36325308529894
356,8,81.22286017890187,67017.09913832736,0,216.72412431853476
356,9,73.81831129218195,56813.641481774284,0,293.9389345442808
356,10,92.19753163669864,70161.49754486949,0,30.234681052353206
356,11,70.79524812877011,52759.000823254035,0,0.00002869337655289219
356,12,61.330088068462395,43996.423266349935,0,0
356,13,50.60254318212037,28115.22091724958,0,137.5487924275194
356,14,24.297433081978127,14709.158838095718,0,127.21612507618707
356,15,11.106172851225658,5900.447511092627,0,112.69587358837846
356,16,74.97781273970149,50205.62095673548,0,130.28982728092535
356,17,79.37501219962898,60479.155236416394,0,195.57588490424206
356,18,104.15766431403742,87839.1205224808,0,119.27876270373567
356,19,71.8626344014749,41984.21644103541,0,10.502440785216285
356,20,61.450677910980865,39669.374801178,0,204.97993904115057
356,21,65.8605376260615,46402.66924736777,0,181.74003867547577
356,22,70.67418502437741,50895.05549100498,0,603.3839031271233
356,23,67.46623147439998,49105.71223205599,0,185.92809969697035
356,24,67.9739757990916,49518.60358316823,0,344.94678071907856
356,25,66.88266796337821,48697.49748911429,0,69.49569582967548
356,26,68.45697703613936,50131.19565411944,0,716.0377501451641
356,27,65.68621457241058,47892.85066003215,0,323.7292183215672
356,28,64.25744467644351,43508.20531299673,0,0.000000001862645149230957
356,29,64.5336510952527,47375.95537320682,0,338.26651334269803
356,30,66.88232416169834,48660.732974020626,0,264.9956093431703
356,31,61.48792565191762,44181.548755361146,0,160.19352633348032
356,32,73.98029997915022,56804.87938113429,0,96.1896544677067
356,33,64.78901943914883,47399.74667630158,0,106.68896180463638
356,34,64.17443395044663,47229.83262223783,0,551.3616256140572
356,35,62.42441189358498,45771.67086124012,0,657.7461651326481
356,36,64.0007017365279,46784.45567611612,0,279.7172408755061
356,37,69.04755942109254,50056.45937334319,0,346.00968630994606
356,38,63.37184316106915,44045.9711727232,0,201.66679343610593
356,39,69.80973014411006,49861.62480906405,0,2.1815257747356545
356,40,68.70512848703174,50267.40120963836,0,728.1673320664453
357,0,100.10497832636155,87275.60009651037,17.990040442190786,35.15977961944156
357,1,86.1317830189935,63446.77834750418,17.990040442190786,48.60789036590427
357,2,32.86022750265675,19436.284352155206,17.990040442190786,117.78761762100542
357,3,75.91144510852659,56906.91010500912,17.990040442190786,0.000013706738409904616
357,4,60.147820760600005,40068.4729663941,17.990040442190786,206.26048131650703
357,5,71.13110008821367,39650.967461503846,17.990040442190786,150.80798443932372
357,6,109.8364766035058,97014.0643153081,17.990040442190786,42.10625827637604
357,7,99.27762923483594,82554.92715342515,17.990040442190786,179.36325308529894
357,8,87.16271059783602,70005.02032808703,17.990040442190786,216.72412431853476
357,9,79.7581617111161,59801.56267153396,17.990040442190786,293.9389345442808
357,10,98.13738205563281,73149.41873462917,17.990040442190786,30.234681052353206
357,11,76.73509854770428,55746.92201301372,17.990040442190786,0.00002869337655289219
357,12,67.26993848739657,46984.344456109626,17.990040442190786,0
357,13,56.542393601054535,31103.142107009273,17.990040442190786,137.5487924275194
357,14,30.237283500912287,17697.08002785541,17.990040442190786,127.21612507618707
357,15,17.046023270159818,8888.368700852317,17.990040442190786,112.69587358837846
357,16,80.91766315863565,53193.542146495194,17.990040442190786,130.28982728092535
357,17,85.31486261856315,63467.07642617609,17.990040442190786,195.57588490424206
357,18,110.09751473297158,90827.0417122405,17.990040442190786,119.27876270373567
357,19,77.80248482040906,44972.1376307951,17.990040442190786,10.502440785216285
357,20,67.39052832991504,42657.29599093768,17.990040442190786,204.97993904115057
357,21,71.80038804499566,49390.59043712747,17.990040442190786,181.74003867547577
